ID	Pop.total	Pop.term	Study.total	Study.term	p	p.adjusted	p.min	name
GO:0048193	6178	194	132	4	0.6000770009678583	1.0	0.0	"Golgi vesicle transport"
GO:0097346	6178	25	132	1	0.41783739157855515	1.0	2.7578147748486836E-70	"INO80-type complex"
GO:0097367	6178	758	132	18	0.35273393808405956	1.0	0.0	"carbohydrate derivative binding"
GO:0015491	6178	5	132	1	0.10239380935159907	1.0	1.3355029950948291E-17	"cation:cation antiporter activity"
GO:0048278	6178	29	132	2	0.12668782183794544	1.0	1.0978276143602658E-79	"vesicle docking"
GO:0048284	6178	97	132	2	0.6184792884561408	1.0	3.9803001797137615E-216	"organelle fusion"
GO:0048285	6178	362	132	4	0.9556413712710756	1.0	0.0	"organelle fission"
GO:0031901	6178	5	132	1	0.10239380935159907	1.0	1.3355029950948291E-17	"early endosome membrane"
GO:0031903	6178	36	132	1	0.5414803670356544	1.0	1.3943851504690276E-95	"microbody membrane"
GO:0048308	6178	58	132	2	0.35279764780046585	1.0	4.154857992310711E-142	"organelle inheritance"
GO:0048309	6178	11	132	1	0.21161542478899156	1.0	8.048172907631841E-35	"endoplasmic reticulum inheritance"
GO:0048311	6178	30	132	1	0.47767912062789086	1.0	5.356127570444337E-82	"mitochondrion distribution"
GO:0031935	6178	40	132	2	0.2101799631060418	1.0	2.1511849663005598E-104	"regulation of chromatin silencing"
GO:0031936	6178	26	132	1	0.4303264967812338	1.0	1.1653369762157367E-72	"negative regulation of chromatin silencing"
GO:0031938	6178	27	132	1	0.44254966037288407	1.0	5.114450318230899E-75	"regulation of chromatin silencing at telomere"
GO:0031939	6178	15	132	1	0.2769935405749504	1.0	1.8246014326231625E-45	"negative regulation of chromatin silencing at telomere"
GO:0031965	6178	88	132	3	0.29029923299730664	1.0	8.791518537120072E-200	"nuclear membrane"
GO:0031966	6178	369	132	3	0.9876141757109916	1.0	0.0	"mitochondrial membrane"
GO:0031967	6178	553	132	7	0.9580902019781499	1.0	0.0	"organelle envelope"
GO:0097502	6178	20	132	2	0.06700319770196736	1.0	3.8241685939355216E-58	"mannosylation"
GO:0031968	6178	108	132	1	0.9049367767282849	1.0	1.3154584452635431E-235	"organelle outer membrane"
GO:0031970	6178	59	132	1	0.7220598870709544	1.0	4.005500352079559E-144	"organelle envelope lumen"
GO:0031974	6178	1108	132	24	0.506468449987033	1.0	0.0	"membrane-enclosed lumen"
GO:0031975	6178	553	132	7	0.9580902019781499	1.0	0.0	"envelope"
GO:0031981	6178	802	132	17	0.554017161321755	1.0	0.0	"nuclear lumen"
GO:0031982	6178	133	132	2	0.7825029292701186	1.0	4.084554194868975E-278	"vesicle"
GO:0031984	6178	87	132	5	0.037874749986457165	1.0	6.085129478386752E-198	"organelle subcompartment"
GO:0031985	6178	22	132	2	0.07926285878799577	1.0	4.659831018001235E-63	"Golgi cisterna"
GO:0015603	6178	5	132	1	0.10239380935159907	1.0	1.3355029950948291E-17	"iron chelate transmembrane transporter activity"
GO:0031988	6178	128	132	2	0.7641087322264281	1.0	8.569857202253285E-270	"membrane-bounded vesicle"
GO:0015616	6178	29	132	2	0.12668782183794544	1.0	1.0978276143602658E-79	"DNA translocase activity"
GO:0015620	6178	1	132	1	0.021366137908615166	1.0	1.6186468112627334E-4	"ferric-enterobactin transmembrane transporter activity"
GO:0015629	6178	83	132	1	0.8354834730290533	1.0	1.5704392480038462E-190	"actin cytoskeleton"
GO:0097550	6178	4	132	1	0.08278374361710965	1.0	1.6490790983396384E-14	"transcriptional preinitiation complex"
GO:0032040	6178	52	132	4	0.024455346997556766	1.0	7.516769299407848E-130	"small-subunit processome"
GO:0097576	6178	42	132	1	0.5975401265833534	1.0	9.83394769132953E-109	"vacuole fusion"
GO:0032045	6178	7	132	1	0.14037424422917674	1.0	1.4722174544616286E-23	"guanyl-nucleotide exchange factor complex"
GO:0032048	6178	9	132	1	0.1767592739210064	1.0	2.78396485469723E-29	"cardiolipin metabolic process"
GO:0032049	6178	4	132	1	0.08278374361710965	1.0	1.6490790983396384E-14	"cardiolipin biosynthetic process"
GO:0015672	6178	70	132	1	0.7813840127218052	1.0	7.752808766053241E-166	"monovalent inorganic cation transport"
GO:0015682	6178	1	132	1	0.021366137908615166	1.0	1.6186468112627334E-4	"ferric iron transport"
GO:0032069	6178	9	132	1	0.1767592739210064	1.0	2.78396485469723E-29	"regulation of nuclease activity"
GO:0015685	6178	1	132	1	0.021366137908615166	1.0	1.6186468112627334E-4	"ferric-enterobactin transport"
GO:0015688	6178	10	132	1	0.1943744102225381	1.0	4.5128300449227395E-32	"iron chelate transport"
GO:0032075	6178	7	132	1	0.14037424422917674	1.0	1.4722174544616286E-23	"positive regulation of nuclease activity"
GO:0048468	6178	108	132	2	0.6767466250866527	1.0	1.3154584452635431E-235	"cell development"
GO:0048471	6178	22	132	1	0.3787163987190258	1.0	4.659831018001235E-63	"perinuclear region of cytoplasm"
GO:0015711	6178	133	132	4	0.31650760394782895	1.0	4.084554194868975E-278	"organic anion transport"
GO:0015718	6178	26	132	2	0.10560976151740054	1.0	1.1653369762157367E-72	"monocarboxylic acid transport"
GO:0097659	6178	766	132	18	0.3701190731516484	1.0	0.0	"nucleic acid-templated transcription"
GO:0048518	6178	586	132	12	0.6065192672427749	1.0	0.0	"positive regulation of biological process"
GO:0048519	6178	556	132	12	0.5304104698296158	1.0	0.0	"negative regulation of biological process"
GO:0048522	6178	577	132	12	0.5842245579736169	1.0	0.0	"positive regulation of cellular process"
GO:0048523	6178	553	132	12	0.522552600993424	1.0	0.0	"negative regulation of cellular process"
GO:0032153	6178	34	132	2	0.16369746508341382	1.0	4.176802367072219E-91	"cell division site"
GO:0032155	6178	34	132	2	0.16369746508341382	1.0	4.176802367072219E-91	"cell division site part"
GO:0032156	6178	26	132	1	0.4303264967812338	1.0	1.1653369762157367E-72	"septin cytoskeleton"
GO:0032161	6178	18	132	1	0.3224692177028898	1.0	3.8180740768516367E-53	"cleavage apparatus septin structure"
