1.5,1.4,0.6,1.3
32,50.5,61.2,24.5
0.7,0.9,1.4,1.5
54.3,33.8,40,108.2
4.7,8.1,4.7,4.6
1.3,1.6,2.2,3.6
15.2,13.4,27.7,4
9.8,12.6,7.6,11.9
9.4,10.6,1.6,13.3
3.1,1,3.8,6
1.3,2.1,1.1,4.6
25.6,26.2,28.1,32.8
53.9,44.6,37.9,71.2
1.3,7.7,1.7,2
14,12.3,2.8,9.7
2.6,2.9,0.9,3.9
1.5,0.4,0.9,0.9
8.9,11.3,15.8,9.9
16.9,9.5,9.8,7.5
1,8.7,5.3,1.8
10.1,12.2,11.1,12.8
1.3,3.4,1.2,1.5
22.3,11.3,3.3,26.8
11,8.2,12.7,15.3
3.1,5.4,4.7,3.1
2.7,3.2,7.3,3.2
18,17.1,12.7,7.9
3.1,4.2,1.9,2.3
3.2,8.4,12.5,19.9
1.3,3.5,7.1,3.8
1.1,3.4,2.6,8.3
1.9,1,6.4,6.1
12.2,1.4,9.2,6.6
0.5,3.3,1,0.7
0.7,1,2.1,1.1
4.6,2.5,1.7,0.9
2.1,1.1,1.6,5.9
11.2,10,20.8,2.1
5,4.9,7.8,10.9
10.2,1.5,7.3,10.1
18.7,4.4,2.2,11.7
0.7,8,7.9,0.6
6.8,0.8,6.6,2
10.3,9.4,3.2,0.8
46.3,34.6,29.5,54.5
2.3,0.6,9.7,0.8
1.1,7.5,1.2,1.5
3.1,2.1,5.4,1.6
60.7,65.6,63,93.5
123.9,174.2,181.9,157
285.1,170.6,171.5,368.8
0.4,0.5,1.5,0.6
365.1,431.4,434,304.2
6.6,1.3,2.6,6.9
106.2,129.3,121.4,114.2
38.5,59.5,54.5,45
62.5,108.4,102.8,83.7
61.3,55.5,66.9,38.8
223,218.6,253.3,312.1
445.3,455.3,368.9,357.2
17.6,2.7,16.5,24.1
4.3,10.2,4.2,4.8
22.8,18.1,15.6,2.5
93.6,130.6,143.8,112.8
16.2,22.4,15.3,19
22.9,26,25.4,13.6
21.9,18.7,22.9,18.5
19.6,16.4,26.4,18.1
0.4,6.7,5.1,6.8
8.2,5.2,8.1,4.6
4.7,0.4,4.1,1
39,8.6,9.4,27.3
14.8,5.2,12.4,6.2
0.3,1.4,0.7,2.7
80.9,120.2,100.2,70.1
13.6,4.4,12.8,6.9
30.4,41.2,49.1,30.9
28.3,28.1,29.2,79.3
50,45.3,49.5,103.2
3.4,17.6,4.2,24
17,18.2,11,7.3
17.2,8.7,10.2,11
4.7,3,1.5,5.2
30.8,37,30.2,54.7
3,4.1,0.4,1.9
0.8,1.2,5.5,1.1
36.4,81.5,114.3,71.3
77.9,69.2,78.5,80.6
4.4,9.1,3.2,7.1
16.7,37.1,29.4,24
19.6,16.3,14,13.6
6.9,1.8,1.5,5.2
11.7,11.3,12.6,13.3
44.2,28.7,29.7,39.4
13.2,3.6,6.4,1.7
37.6,35.7,40.2,54.3
24.7,26.4,22.8,3.4
19.6,28.3,31.6,7.2
37.5,34.6,29.7,12.7
72.9,81.9,73.5,69.1
11.6,15.8,7,17.3
2.2,13.2,9.9,6.4
1.5,8.5,9.2,12
78.3,68,38.9,39
5,3,2.4,6.1
9.9,14.8,16.1,12.3
2.3,4.6,8.4,6.6
6.4,10.4,11,13
23.4,34.9,15,34
1.6,5.4,1.4,3.9
0.6,6.8,1.7,0.3
29.9,23.5,27.4,35.4
