21.7;35.5;21.7;16.7;19.9;20;26.1;17.8;23.5;15.9;26.1;16.5
497.3;363.3;271.3;290.4;316;361.5;344;364.7;297.1;285.8;263.5;339.2
727.5;986.8;813.8;870;1104.7;1096.7;1352.5;822.7;1081.7;919;914.4;1136.4
408.2;372.8;232;245.7;256.8;267.2;358.2;285.9;172.9;218.7;369.4;282.8
1023.6;1194.6;1106.1;1122.1;1226.5;1200.6;1406.9;1460.4;1265.3;1096.3;1238.3;1120.8
15.7;20.2;83;33.1;40.1;47.1;22.9;25.4;86.5;27.9;94.7;20.1
809.5;1064.7;1617.9;1119.2;904.7;1007.5;989;930.9;1185.6;809.4;1113.9;1037.9
328.5;525.4;470.3;376;596.7;339.2;391.9;299.4;407.4;478.4;404;468
2344;2573.8;2678.8;2288.3;2838.6;2501.4;2938.3;3143.6;2766.3;2902.3;2412.2;2496.7
772.6;895.8;924.8;1023.8;814.8;812.8;950.2;988.3;859.3;885.9;824.8;866.3
948.4;1116.3;1193;772.4;1125.4;1315.5;1070.9;1304.3;1276.1;1239.2;1042.6;1222.8
330.5;506.3;427.4;382.8;387.9;676.8;569.7;672.4;491.9;422.3;455.9;495.9
315.2;619.6;438.4;380.9;534.9;537.9;509.6;643.2;505.4;495.5;493.3;718.8
621.1;711.5;695.4;621.9;817.4;936.6;748;901.7;779.4;881.3;711.7;717.2
513.6;556.4;540.6;644.2;616.1;578;809.2;781.2;600.1;745.7;648.2;616.8
668.7;734.5;897.2;658.3;703.7;753;843.1;808;671.8;601.3;819.7;584.8
796;742.4;710.7;899.5;785.8;658.9;912.5;990.6;720.2;885.7;1007.6;706.9
717.7;769;676.9;707.2;801.7;771.8;1019.5;732.4;787;710.2;922.4;654.2
898.1;1479.2;1473.1;1396;1556.6;1227.7;1581.6;1690.1;1685.3;1822.8;1391.3;1170.4
576.4;668.8;568.4;637.2;623.3;624.4;747.6;812.9;607.8;613.3;574;601.3
1412.2;2038.2;1705.5;1406.2;1691.3;1862.1;1754;1883;1696.4;1973.7;1589.2;1760.8
0.2;0.1;0.6;1;15.7;13.2;25.5;2.4;2.6;2.9;30.4;1.5
46.2;35.9;33.3;24.2;31.1;46.1;39.6;34.6;27.6;33.7;40.8;33.9
619.7;585.2;492.4;575.4;576.3;630.3;456.1;602.5;587.7;616.9;584.8;707.5
448.7;543.4;571.6;594.7;522.8;552.3;496.3;510.4;553;457.4;538.7;497.4
370.7;391.5;285.3;284.6;328.7;262.2;295.9;366.1;349.4;394.7;367.4;311.9
776.9;857.2;870.5;789.7;682.9;971.3;681;929.2;833;733.1;694;675.7
329.1;425.3;319.4;346.6;225.5;309.7;250.8;231.1;223.6;299.6;247.6;184.2
788.6;645;651.8;673.4;673.2;620.4;784;775.5;732.8;737.8;773.8;538.7
729;472.2;416.1;438.6;526.6;572.4;565.7;724.2;439.7;541;621.6;511
1645.9;1379.9;1513.6;1490;1516.2;1528.3;1494.9;1737.3;1603.1;1750.5;1325.4;1694.1
1785.2;2411.8;2895.9;2016.3;2781.3;2316.6;2867.4;2378.8;2671.3;2536.2;1854.7;2182
1361.6;1864;1589.9;1926.1;2434.9;2437.6;3220.5;2903.5;1933.4;2461.2;3207.7;2668.3
1922.4;3173.6;2444.4;2126.2;2727.7;2123.1;3946.4;3076.8;3120.4;2757.9;1924;1943.7
3593.2;3038;2950.2;2279.5;2270;3141.6;1591;2285.2;2602.8;2772;2227.3;2573.9
353.8;236.3;318.1;376.5;309.2;318.9;359.2;393;290.8;301.6;409;332
30647;24357;21805.1;26319.4;28338;32825;28258.9;35898.1;27436;30455.5;31633.5;25932.8
525.9;398.2;366.3;514.1;419.2;547.3;511.4;471.4;385.1;434;677.1;483.7
716;422.7;571.3;576.6;522.6;404.2;524.9;369.2;653.3;499.2;478.6;455.6
771.1;691.2;729.1;780.2;619.6;621.3;835.7;737.3;615.9;648.1;619.8;652.6
