ID	Pop.total	Pop.term	Study.total	Study.term	p	p.adjusted	p.min	name
GO:1901564	6178	1038	170	26	0.733636818705015	1.0	0.0	"organonitrogen compound metabolic process"
GO:0000993	6178	15	170	1	0.3423101893610756	1.0	1.8246014326231625E-45	"RNA polymerase II core binding"
GO:1901566	6178	814	170	24	0.3904871385594316	1.0	0.0	"organonitrogen compound biosynthetic process"
GO:0001010	6178	18	170	1	0.3952561715108952	1.0	3.8180740768516367E-53	"transcription factor activity, sequence-specific DNA binding transcription factor recruiting"
GO:0001012	6178	81	170	1	0.8972121900834946	1.0	8.576110124490997E-187	"RNA polymerase II regulatory region DNA binding"
GO:0001015	6178	4	170	1	0.10563222862338652	1.0	1.6490790983396384E-14	"snoRNA transcription from an RNA polymerase II promoter"
GO:1901576	6178	1989	170	51	0.7578652144858543	1.0	0.0	"organic substance biosynthetic process"
GO:1901575	6178	724	170	10	0.9968585737312159	1.0	0.0	"organic substance catabolic process"
GO:0001055	6178	9	170	1	0.2222025657357164	1.0	2.78396485469723E-29	"RNA polymerase II activity"
GO:0001067	6178	125	170	1	0.9705134667074508	1.0	9.274405830867969E-265	"regulatory region nucleic acid binding"
GO:1901617	6178	95	170	4	0.2651607660260365	1.0	1.5813830924721362E-212	"organic hydroxy compound biosynthetic process"
GO:0001071	6178	203	170	3	0.9230870600626245	1.0	0.0	"nucleic acid binding transcription factor activity"
GO:1901615	6178	157	170	5	0.4350463465146723	1.0	5.948123E-317	"organic hydroxy compound metabolic process"
GO:0001075	6178	16	170	1	0.36045188460887934	1.0	4.736917559957599E-48	"transcription factor activity, RNA polymerase II core promoter sequence-specific binding involved in preinitiation complex assembly"
GO:0001076	6178	62	170	1	0.8242487770235518	1.0	3.9691831844988114E-150	"transcription factor activity, RNA polymerase II transcription factor binding"
GO:0001078	6178	18	170	1	0.3952561715108952	1.0	3.8180740768516367E-53	"transcriptional repressor activity, RNA polymerase II core promoter proximal region sequence-specific binding"
GO:1901605	6178	201	170	5	0.6544757161616804	1.0	0.0	"alpha-amino acid metabolic process"
GO:1901607	6178	142	170	3	0.755460858773135	1.0	6.908645682279688E-293	"alpha-amino acid biosynthetic process"
GO:1901606	6178	44	170	1	0.7083122489322744	1.0	4.9425276540935887E-113	"alpha-amino acid catabolic process"
GO:0033857	6178	1	170	1	0.02751699579140215	1.0	1.6186468112627334E-4	"diphosphoinositol-pentakisphosphate kinase activity"
GO:1901657	6178	153	170	2	0.9278638503027039	1.0	1.3393648423531E-310	"glycosyl compound metabolic process"
GO:1901659	6178	62	170	2	0.5127609865692743	1.0	3.9691831844988114E-150	"glycosyl compound biosynthetic process"
GO:0033865	6178	12	170	1	0.28475835280958484	1.0	1.5660462930279868E-37	"nucleoside bisphosphate metabolic process"
GO:0001098	6178	23	170	2	0.13082955287758027	1.0	1.7410024921125108E-65	"basal transcription machinery binding"
GO:0033866	6178	9	170	1	0.2222025657357164	1.0	2.78396485469723E-29	"nucleoside bisphosphate biosynthetic process"
GO:0001099	6178	23	170	2	0.13082955287758027	1.0	1.7410024921125108E-65	"basal RNA polymerase II transcription machinery binding"
GO:0033875	6178	12	170	1	0.28475835280958484	1.0	1.5660462930279868E-37	"ribonucleoside bisphosphate metabolic process"
GO:1901681	6178	14	170	1	0.3236569915309165	1.0	7.497895487143899E-43	"sulfur compound binding"
GO:0001133	6178	9	170	1	0.2222025657357164	1.0	2.78396485469723E-29	"RNA polymerase II transcription factor activity, sequence-specific transcription regulatory region DNA binding"
GO:0001134	6178	38	170	1	0.6547667135244872	1.0	5.197795158947777E-100	"transcription factor activity, transcription factor recruiting"
GO:1901682	6178	16	170	1	0.36045188460887934	1.0	4.736917559957599E-48	"sulfur compound transmembrane transporter activity"
GO:1901678	6178	14	170	1	0.3236569915309165	1.0	7.497895487143899E-43	"iron coordination entity transport"
GO:2000021	6178	6	170	1	0.15421054581691382	1.0	1.2980751612755431E-20	"regulation of ion homeostasis"
GO:1901701	6178	53	170	1	0.7735406590967396	1.0	6.50324474157194E-132	"cellular response to oxygen-containing compound"
GO:1901700	6178	79	170	2	0.644901628750977	1.0	4.922224260320552E-183	"response to oxygen-containing compound"
GO:0033962	6178	10	170	1	0.24363643894522619	1.0	4.5128300449227395E-32	"cytoplasmic mRNA processing body assembly"
GO:0001227	6178	20	170	1	0.4281769413294456	1.0	3.8241685939355216E-58	"transcriptional repressor activity, RNA polymerase II transcription regulatory region sequence-specific binding"
GO:2000112	6178	875	170	24	0.5413091677346088	1.0	0.0	"regulation of cellular macromolecule biosynthetic process"
GO:0034030	6178	9	170	1	0.2222025657357164	1.0	2.78396485469723E-29	"ribonucleoside bisphosphate biosynthetic process"
GO:2000113	6178	327	170	7	0.804215979604216	1.0	0.0	"negative regulation of cellular macromolecule biosynthetic process"
GO:0034032	6178	12	170	1	0.28475835280958484	1.0	1.5660462930279868E-37	"purine nucleoside bisphosphate metabolic process"
GO:0099568	6178	167	170	6	0.3113918954011685	1.0	0.0	"cytoplasmic region"
GO:0034033	6178	9	170	1	0.2222025657357164	1.0	2.78396485469723E-29	"purine nucleoside bisphosphate biosynthetic process"
GO:1901800	6178	8	170	1	0.20016497176632947	1.0	1.908562572615925E-26	"positive regulation of proteasomal protein catabolic process"
GO:0034045	6178	25	170	1	0.502890379973945	1.0	2.7578147748486836E-70	"pre-autophagosomal structure membrane"
GO:0034061	6178	31	170	2	0.2094415407535351	1.0	2.7007149428206348E-84	"DNA polymerase activity"
GO:0034062	6178	34	170	1	0.613749823253035	1.0	4.176802367072219E-91	"RNA polymerase activity"
GO:0034063	6178	8	170	1	0.20016497176632947	1.0	1.908562572615925E-26	"stress granule assembly"
GO:0034067	6178	19	170	1	0.4119455304141387	1.0	1.1776527184989673E-55	"protein localization to Golgi apparatus"
GO:0001300	6178	30	170	3	0.04827122341528454	1.0	5.356127570444337E-82	"chronological cell aging"
GO:0099615	6178	1	170	1	0.02751699579140215	1.0	1.6186468112627334E-4	"(D)-2-hydroxyglutarate-pyruvate transhydrogenase activity"
GO:2000220	6178	20	170	1	0.4281769413294456	1.0	3.8241685939355216E-58	"regulation of pseudohyphal growth"
GO:2000221	6178	8	170	1	0.20016497176632947	1.0	1.908562572615925E-26	"negative regulation of pseudohyphal growth"
GO:2000217	6178	19	170	1	0.4119455304141387	1.0	1.1776527184989673E-55	"regulation of invasive growth in response to glucose limitation"
GO:2000242	6178	31	170	2	0.2094415407535351	1.0	2.7007149428206348E-84	"negative regulation of reproductive process"
GO:2000241	6178	74	170	5	0.0523294351766399	1.0	1.5396963491280211E-173	"regulation of reproductive process"
GO:0001403	6178	60	170	2	0.4952468055928156	1.0	3.9276028946387107E-146	"invasive growth in response to glucose limitation"
GO:1901981	6178	55	170	2	0.44978086886706536	1.0	5.149265354746329E-136	"phosphatidylinositol phosphate binding"
GO:1901983	6178	9	170	1	0.2222025657357164	1.0	2.78396485469723E-29	"regulation of protein acetylation"
GO:1901970	6178	5	170	1	0.13025848731111664	1.0	1.3355029950948291E-17	"positive regulation of mitotic sister chromatid separation"
GO:0034198	6178	14	170	1	0.3236569915309165	1.0	7.497895487143899E-43	"cellular response to amino acid starvation"
GO:0034212	6178	37	170	2	0.2709686547884388	1.0	8.39991054501658E-98	"peptide N-acetyltransferase activity"
GO:0034220	6178	151	170	3	0.7913807996456006	1.0	2.0916749474706687E-307	"ion transmembrane transport"
GO:1901992	6178	16	170	2	0.07018476065788833	1.0	4.736917559957599E-48	"positive regulation of mitotic cell cycle phase transition"
GO:1901989	6178	16	170	2	0.07018476065788833	1.0	4.736917559957599E-48	"positive regulation of cell cycle phase transition"
GO:1901990	6178	94	170	3	0.4813558021486949	1.0	1.0127510246949174E-210	"regulation of mitotic cell cycle phase transition"
GO:1901985	6178	8	170	1	0.20016497176632947	1.0	1.908562572615925E-26	"positive regulation of protein acetylation"
GO:1901987	6178	96	170	3	0.49540938247570954	1.0	2.4956892467085424E-214	"regulation of cell cycle phase transition"
GO:0034243	6178	48	170	3	0.14482061081797692	1.0	1.6319556419339606E-121	"regulation of transcription elongation from RNA polymerase II promoter"
GO:0034248	6178	145	170	6	0.20912918744568795	1.0	9.384856586441404E-298	"regulation of cellular amide metabolic process"
GO:0034250	6178	42	170	4	0.0274876877692767	1.0	9.83394769132953E-109	"positive regulation of cellular amide metabolic process"
